Topic,Structure,Type,Content,Status,Owner,Temp Notes
Build,Tab,Info,,,,
 -Introduction,Section,Info,,To Update,,
      What is Emergent?,Page,Info,"Emergent is an agentic vibecoding platform: you describe what you want, and AI agents build, test, and deploy it. Positioning vs traditional coding.",To Update,,
      What kind of apps you can build?,Page,Info,"Full-stack web apps, mobile apps, landing pages, MVPs, dashboards, internal tools, e-commerce - projects of any scale.",To Update,,
            For Individuals,Topic,Info,"Personal apps, trackers, portfolios, side projects.",New,,
            For Small & Medium Businesses,Topic,Info,"Internal tools, dashboards, customer-facing apps.",New,,
            For Enterprises,Topic,Info,Complex multi-user platforms at scale.,New,,
      The chat-to-deployment flow,Page,Info,The big-picture arc of building on Emergent: prompt -> build -> preview -> iterate -> deploy. A map of the whole journey before diving in.,To Update,,
      How apps work here (mental model),Page,Info,,To Update,,Ticket theme: the line between what AI knows and what user assumes.
"            You describe, the agent builds",Topic,Info,"What the agent handles (code, structure, best practices, bug fixes) vs what you decide (vision, features, UX).",To Update,,
            What's under the hood,Topic,Info,Full-stack = FastAPI + React + MongoDB; why knowing this helps when debugging or migrating.,To Update,,
            What the AI knows vs what you think it knows,Topic,User Concern,The agent isn't omniscient about your intent - be explicit. A common source of frustration.,To Update,,
      A tour of the workspace,Page,Info,"1. Chat panel: where you talk to the agent.
2. Preview panel: live view of your app; auto-updates.
3. Secrets / env area: where API keys & env vars live (separate from deployment).
4. GitHub controls: where save/pull lives.
5. Deploy controls: where deploy/redeploy/replace live.
6. Uploading files/images to the agent: attach a screenshot, design, or CSV as build input.",New,,Includes file/image upload as build input (new).
 -Getting Started,Section,Guide,,To Update,,
      Which prompt window should I use?,Page,Info,"1. Why the choice matters up front: each window has different capabilities & limitations; wrong choice = rework.
2. Quick decision guide: a short 'if you want X, pick Y' chooser before the comparison table.",New,,Ticket: users realise mid-build they had job-type-specific limitations.
      Compare the 4 windows,Page,Comparison,"1. SINGLE TABLE PAGE. Columns = Fullstack Builder / Mobile App / Landing Page / Brainstorm; Rows = What it's for / What it CAN do / What it CAN'T do / Pick it when.
2. Key mobile note: a native Mobile App runs on a different language/stack underneath - NOT a web URL in a wrapper (drives later domain/bundle-ID/publication behaviour).",New,,Ticket: which template to use. Render as a scannable comparison table.
      Template- fullsatck vs base python (advanced),Page,Comparison,,,,
      What is a Job?,Page,FAQ,"1. What a Job is: a single build/app/project in Emergent - the term you'll see across the platform.
2. How a job maps to the app you're building.
3. Managing multiple jobs: working across and switching between projects.
4. Forking a job to branch off from existing work.",New,,'Job' terminology used in-product but never explained. Each path creates a job.
            Projects,Topic,Info,Organising work into projects: what they are and how to use them.,To Update,,
"      Team roles, permissions & collaboration",Page,Info,"Four project roles (Owner/Admin/Member/Viewer) with a capability matrix, a shared credit pool, inviting members, changing roles, and transferring ownership.",New,,
      Your first build (walkthrough),Page,Guide,"1. Pick a simple idea (e.g. book tracker); keep it small.
2. Write the first prompt: purpose + features + design hint + UX hint.
3. Answer the agent's clarifying questions: Universal Key vs own key, auth?, design prefs, start-vs-discuss.
4. Watch it build: real-time steps; ~5-15 min; read the explanations.",To Update,,
            How long builds take & working while you wait,Topic,Info,Typical build durations and what happens during a build; what you can do while waiting.,New,,VERIFY details with product team.
